model,line_name,planning_year,case,unit,value
SWITCH,SPPC_to_MISS,2035,base_52_week,MW,1.933159637701465e-06
SWITCH,SPPC_to_SPPN,2035,base_52_week,MW,6.662335181317758e-07
SWITCH,SPPC_to_MISW,2035,base_52_week,MW,9.318789832464979e-05
SWITCH,FRCC_to_SRSE,2035,base_52_week,MW,2.7721557671611663e-06
SWITCH,TRE_to_SPPS,2035,base_52_week,MW,8.068745955824852e-07
SWITCH,SRCA_to_PJMW,2035,base_52_week,MW,1.9468413938739104e-06
SWITCH,SRCA_to_SRCE,2035,base_52_week,MW,2.3495829282182967e-08
SWITCH,SRCA_to_PJMD,2035,base_52_week,MW,124.90147212390832
SWITCH,SRCA_to_SRSE,2035,base_52_week,MW,7.028809250186896e-07
SWITCH,NYUP_to_NYCW,2035,base_52_week,MW,1.659151166677475e-06
SWITCH,PJMW_to_SRCE,2035,base_52_week,MW,5.947517820459325e-07
SWITCH,PJMW_to_PJMD,2035,base_52_week,MW,1.2478903954615816e-07
SWITCH,BASN_to_RMRG,2035,base_52_week,MW,6.603962447115919e-06
SWITCH,BASN_to_CASO,2035,base_52_week,MW,4.172014087089337e-06
SWITCH,BASN_to_NWPP,2035,base_52_week,MW,6.406503416656051e-07
SWITCH,BASN_to_SRSG,2035,base_52_week,MW,3.0477167456410825e-09
SWITCH,SRCE_to_MISS,2035,base_52_week,MW,2.3858092390582897e-07
SWITCH,SRCE_to_SRSE,2035,base_52_week,MW,4.987987267668359e-08
SWITCH,SPPS_to_MISS,2035,base_52_week,MW,2692.0889845530874
SWITCH,SPPS_to_SRSG,2035,base_52_week,MW,483.74129633208304
SWITCH,SPPS_to_SPPN,2035,base_52_week,MW,315.73494906217365
SWITCH,RMRG_to_NWPP,2035,base_52_week,MW,1344.521028313076
SWITCH,RMRG_to_SRSG,2035,base_52_week,MW,1127.5845277435587
SWITCH,MISS_to_SRSE,2035,base_52_week,MW,1.84853433893295e-06
SWITCH,CASO_to_NWPP,2035,base_52_week,MW,1.0592370927042793e-06
SWITCH,CASO_to_SRSG,2035,base_52_week,MW,1163.547615654421
SWITCH,SPPN_to_MISW,2035,base_52_week,MW,3.714103513630107e-08
SWITCH,NWPP_to_SPPN,2035,base_52_week,MW,703.0226987745081
SWITCH,NWPP_to_MISW,2035,base_52_week,MW,3.928511489448283e-07
SWITCH,RMRG_to_SPPN,2035,base_52_week,MW,323.8355331180246
SWITCH,RMRG_to_SPPC,2035,base_52_week,MW,2550.9192846816795
SWITCH,SRSG_to_TRE,2035,base_52_week,MW,859.6064628603276
SWITCH,PJMC_to_MISC,2040,base_52_week,MW,2.8589420253410935e-07
SWITCH,PJMC_to_PJMW,2040,base_52_week,MW,821.0544411599421
